sales_name;success_rate;information
Cut Clara Rahimah, S.T.;48.73;Sales Cut Clara Rahimah, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 1 dan L4 = 4.
Nabila Gunawan;48.8;Sales Nabila Gunawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.8%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 0, L2 = 1, L3 = 4 dan L4 = 4.
Cawuk Simbolon;48.54;Sales Cawuk Simbolon berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.54%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 8, L2 = 0, L3 = 2 dan L4 = 4.
Bakiono Permata;48.73;Sales Bakiono Permata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 2 dan L4 = 4.
dr. Calista Rahmawati;48.76;Sales dr. Calista Rahmawati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 0 dan L4 = 4.
H. Candra Puspita, S.Sos;48.73;Sales H. Candra Puspita, S.Sos berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 7 dan L4 = 4.
Ian Laksmiwati;48.76;Sales Ian Laksmiwati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 5 dan L4 = 4.
Galar Simbolon;48.73;Sales Galar Simbolon berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 0 dan L4 = 4.
Galur Maryati;48.76;Sales Galur Maryati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 1 dan L4 = 4.
Puti Fitriani Gunawan, S.E.I;48.8;Sales Puti Fitriani Gunawan, S.E.I berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.8%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 0, L2 = 2, L3 = 4 dan L4 = 4.
Heru Haryanti;48.7;Sales Heru Haryanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 0 dan L4 = 4.
Lasmono Mayasari;48.7;Sales Lasmono Mayasari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 0 dan L4 = 4.
Galak Mansur;48.67;Sales Galak Mansur berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 0, L3 = 2 dan L4 = 4.
Drs. Novi Situmorang, M.TI.;48.64;Sales Drs. Novi Situmorang, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.64%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 5, L2 = 0, L3 = 3 dan L4 = 4.
Hamzah Handayani;48.73;Sales Hamzah Handayani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 5, L3 = 2 dan L4 = 4.
Nasim Rajata;48.7;Sales Nasim Rajata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 7, L3 = 0 dan L4 = 4.
Marwata Wibisono;48.73;Sales Marwata Wibisono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 4 dan L4 = 4.
R.M. Jais Andriani, S.Farm;48.7;Sales R.M. Jais Andriani, S.Farm berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 3 dan L4 = 4.
Hendra Melani;48.7;Sales Hendra Melani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 0 dan L4 = 4.
Dariati Kuswandari;36.57;Sales Dariati Kuswandari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 2 dan L4 = 3.
Kamidin Winarsih;36.5;Sales Kamidin Winarsih berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 5 dan L4 = 3.
KH. Sidiq Hastuti;36.53;Sales KH. Sidiq Hastuti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 4 dan L4 = 3.
Mulyono Hutapea;36.57;Sales Mulyono Hutapea berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 2 dan L4 = 3.
Tgk. Kurnia Mansur;36.53;Sales Tgk. Kurnia Mansur berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 3 dan L4 = 3.
Cut Puspa Prasetyo;36.57;Sales Cut Puspa Prasetyo berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 3 dan L4 = 3.
Jasmani Wastuti, S.Farm;36.53;Sales Jasmani Wastuti, S.Farm berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 4 dan L4 = 3.
Salsabila Prasetyo;36.57;Sales Salsabila Prasetyo berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 0 dan L4 = 3.
Irwan Hutagalung;36.53;Sales Irwan Hutagalung berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 1 dan L4 = 3.
Makuta Lailasari, S.Pd;36.5;Sales Makuta Lailasari, S.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 3 dan L4 = 3.
Anastasia Suwarno;36.5;Sales Anastasia Suwarno berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 0 dan L4 = 3.
Fitriani Nugroho;36.53;Sales Fitriani Nugroho berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 3 dan L4 = 3.
H. Artawan Riyanti;36.5;Sales H. Artawan Riyanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 18, dengan rincian sebagai berikut: L1 = 3, L2 = 6, L3 = 6 dan L4 = 3.
Jasmani Dabukke;36.47;Sales Jasmani Dabukke berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 1 dan L4 = 3.
Hafshah Andriani;36.5;Sales Hafshah Andriani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 2 dan L4 = 3.
Fitriani Handayani;36.6;Sales Fitriani Handayani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 4 dan L4 = 3.
Lidya Saptono;36.53;Sales Lidya Saptono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 8, L3 = 0 dan L4 = 3.
dr. Zulfa Ramadan;36.47;Sales dr. Zulfa Ramadan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 5 dan L4 = 3.
Kayla Dongoran, S.Kom;36.44;Sales Kayla Dongoran, S.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 2 dan L4 = 3.
Muni Anggriawan;36.5;Sales Muni Anggriawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 1 dan L4 = 3.
Rama Tampubolon;36.57;Sales Rama Tampubolon berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 2 dan L4 = 3.
Elma Puspasari, M.TI.;36.57;Sales Elma Puspasari, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 1 dan L4 = 3.
Zizi Firgantoro;36.57;Sales Zizi Firgantoro berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 2 dan L4 = 3.
Dt. Bakda Yuliarti, S.I.Kom;36.6;Sales Dt. Bakda Yuliarti, S.I.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 0, L2 = 5, L3 = 0 dan L4 = 3.
Icha Laksita;36.53;Sales Icha Laksita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 2 dan L4 = 3.
T. Limar Widiastuti;36.5;Sales T. Limar Widiastuti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 4 dan L4 = 3.
Irma Wulandari;36.47;Sales Irma Wulandari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 4, L2 = 6, L3 = 2 dan L4 = 3.
Harsanto Kuswoyo, S.E.;36.47;Sales Harsanto Kuswoyo, S.E. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 0 dan L4 = 3.
Tgk. Samiah Prasetyo, S.IP;36.53;Sales Tgk. Samiah Prasetyo, S.IP berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 2, L2 = 0, L3 = 2 dan L4 = 3.
Kani Wijayanti;36.5;Sales Kani Wijayanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 6 dan L4 = 3.
Yuni Nababan;36.57;Sales Yuni Nababan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 1, L2 = 5, L3 = 3 dan L4 = 3.
Violet Suartini;36.47;Sales Violet Suartini berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 2 dan L4 = 3.
Hari Sudiati;36.53;Sales Hari Sudiati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 3 dan L4 = 3.
Dwi Situmorang, M.TI.;36.53;Sales Dwi Situmorang, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 1 dan L4 = 3.
Kuncara Pudjiastuti;36.5;Sales Kuncara Pudjiastuti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 2 dan L4 = 3.
Ajeng Tamba;36.44;Sales Ajeng Tamba berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 0 dan L4 = 3.
KH. Taufik Mahendra, M.M.;36.53;Sales KH. Taufik Mahendra, M.M. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 3 dan L4 = 3.
Almira Permata;36.53;Sales Almira Permata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 2 dan L4 = 3.
Silvia Ramadan;36.5;Sales Silvia Ramadan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 2 dan L4 = 3.
Sutan Hasta Riyanti;36.47;Sales Sutan Hasta Riyanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 18, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 7 dan L4 = 3.
Dr. Elvina Haryanti;36.57;Sales Dr. Elvina Haryanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 5, dengan rincian sebagai berikut: L1 = 1, L2 = 0, L3 = 1 dan L4 = 3.
Lala Pangestu, M.M.;36.5;Sales Lala Pangestu, M.M. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 4 dan L4 = 3.
Dono Waskita;36.5;Sales Dono Waskita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 1 dan L4 = 3.
Ida Mandala, S.Gz;36.44;Sales Ida Mandala, S.Gz berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 5, L2 = 0, L3 = 1 dan L4 = 3.
Intan Yulianti;36.47;Sales Intan Yulianti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 1 dan L4 = 3.
Mulyanto Saputra;36.44;Sales Mulyanto Saputra berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 5, L2 = 4, L3 = 3 dan L4 = 3.
Jessica Simbolon;36.44;Sales Jessica Simbolon berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 5, L2 = 4, L3 = 2 dan L4 = 3.
Sari Nashiruddin;36.57;Sales Sari Nashiruddin berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 1 dan L4 = 3.
Tgk. Talia Halim;36.44;Sales Tgk. Talia Halim berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 5, L2 = 1, L3 = 4 dan L4 = 3.
Puti Febi Firmansyah;36.57;Sales Puti Febi Firmansyah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 2 dan L4 = 3.
Cut Rahmi Nugroho, S.E.I;36.57;Sales Cut Rahmi Nugroho, S.E.I berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 3 dan L4 = 3.
Ratna Hartati;36.44;Sales Ratna Hartati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 5, L2 = 4, L3 = 1 dan L4 = 3.
Mulya Sihombing;36.57;Sales Mulya Sihombing berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 1 dan L4 = 3.
Luthfi Sudiati, S.Kom;36.57;Sales Luthfi Sudiati, S.Kom berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 1 dan L4 = 3.
Vera Mandala;36.44;Sales Vera Mandala berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 2 dan L4 = 3.
drg. Gangsar Maheswara, S.Psi;36.53;Sales drg. Gangsar Maheswara, S.Psi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 3 dan L4 = 3.
Bakijan Salahudin, M.Pd;36.44;Sales Bakijan Salahudin, M.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.44%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 5, L2 = 5, L3 = 2 dan L4 = 3.
Latika Laksita;36.37;Sales Latika Laksita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.37%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 7, L2 = 1, L3 = 1 dan L4 = 3.
Safina Kuswandari, S.E.I;36.53;Sales Safina Kuswandari, S.E.I berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 4 dan L4 = 3.
drg. Sarah Budiman, S.Ked;36.53;Sales drg. Sarah Budiman, S.Ked berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 3 dan L4 = 3.
Rahayu Napitupulu;36.5;Sales Rahayu Napitupulu berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 2 dan L4 = 3.
Jarwi Saefullah;36.5;Sales Jarwi Saefullah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 3 dan L4 = 3.
R. Lasmono Nainggolan, S.E.;36.53;Sales R. Lasmono Nainggolan, S.E. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 2 dan L4 = 3.
Upik Haryanti;36.47;Sales Upik Haryanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 4, L2 = 7, L3 = 1 dan L4 = 3.
T. Kariman Sihotang;36.6;Sales T. Kariman Sihotang berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 0, L2 = 4, L3 = 3 dan L4 = 3.
Cagak Halim;36.4;Sales Cagak Halim berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.4%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 6, L2 = 5, L3 = 3 dan L4 = 3.
R. Bella Maulana, M.TI.;36.47;Sales R. Bella Maulana, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 3 dan L4 = 3.
Cut Indah Mansur, S.T.;36.47;Sales Cut Indah Mansur, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 1, L3 = 2 dan L4 = 3.
Gaduh Halimah;36.5;Sales Gaduh Halimah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 3 dan L4 = 3.
Ajeng Wahyuni;36.47;Sales Ajeng Wahyuni berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 2 dan L4 = 3.
Kanda Maulana;36.57;Sales Kanda Maulana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 2 dan L4 = 3.
Cahyono Gunarto, M.M.;36.6;Sales Cahyono Gunarto, M.M. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 3 dan L4 = 3.
Olga Andriani;36.53;Sales Olga Andriani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 2 dan L4 = 3.
T. Kacung Putra, S.T.;36.47;Sales T. Kacung Putra, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.47%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 4, L2 = 0, L3 = 3 dan L4 = 3.
Kasiyah Wasita;36.5;Sales Kasiyah Wasita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.5%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 1 dan L4 = 3.
Cut Karimah Andriani;36.53;Sales Cut Karimah Andriani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 36.53%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 5, L3 = 3 dan L4 = 3.
